OrderID,OrderDate,Product,Category,Region,Sales,Cost,Discount,CustomerType
1001,2023-03-06,Headphones,Accessories,North,19641.0,14819.37,20.0,Returning
1002,2023-04-02,Headphones,Accessories,South,22546.0,13660.02,30.0,New
1003,2024-10-07,Mobile,Electronics,East,65307.0,45170.26,30.0,Returning
1004,2023-10-15,Laptop,Electronics,East,19193.0,13671.68,20.0,New
1005,2023-05-30,Keyboard,Accessories,South,49291.0,,15.0,New
1006,2023-09-23,Mouse,Accessories,East,60900.0,40897.4,40.0,New
1007,2023-10-30,Mobile,Electronics,East,59202.0,52618.65,15.0,Returning
1008,2024-03-11,Tablet,Electronics,South,31775.0,21276.46,10.0,New
1009,2024-09-09,Tablet,Electronics,South,47726.0,41626.35,15.0,New
1010,2023-12-11,Laptop,Electronics,North,14037.0,12525.83,15.0,Returning
1011,2023-03-28,Tablet,Electronics,East,40232.0,27888.38,0.0,New
1012,2024-09-03,Keyboard,Accessories,South,24096.0,14611.08,15.0,Returning
1013,2023-06-11,Headphones,Accessories,North,35404.0,20699.18,5.0,New
1014,2023-07-02,Headphones,Accessories,South,57693.0,43926.53,0.0,Returning
1015,2023-04-10,Mobile,Electronics,West,12879.0,,40.0,New
1016,2023-05-10,Headphones,Accessories,North,67835.0,52270.23,10.0,Returning
1017,2024-04-14,Headphones,Accessories,East,40984.0,28920.61,0.0,New
1018,2024-07-12,Mouse,Accessories,South,65624.0,55805.55,40.0,Returning
1019,2024-01-13,Tablet,Electronics,West,75542.0,50879.32,15.0,Returning
1020,2024-03-01,Mouse,Accessories,South,76394.0,44173.86,15.0,New
1021,2023-07-18,Mouse,Accessories,East,67342.0,54715.75,10.0,New
1022,2024-05-25,Keyboard,Accessories,East,78376.0,48080.06,40.0,New
1023,2024-04-11,Tablet,Electronics,East,71482.0,45377.86,40.0,Returning
1024,2024-08-27,Keyboard,Accessories,West,37049.0,25826.2,40.0,Returning
1025,2023-08-13,Mobile,Electronics,North,77812.0,54976.09,40.0,New
1026,2024-09-26,Tablet,Electronics,East,14143.0,7657.82,15.0,New
1027,2023-09-04,Headphones,Accessories,East,22550.0,11957.67,0.0,New
1028,2024-07-13,Mobile,Electronics,East,17188.0,14290.57,30.0,New
1029,2024-03-09,Mouse,Accessories,East,56143.0,30507.59,40.0,New
1030,2024-01-23,Mobile,Electronics,West,8955.0,6782.65,30.0,New
1031,2023-06-13,Headphones,Accessories,West,34941.0,24484.21,15.0,New
1032,2024-03-13,Keyboard,Accessories,South,51547.0,41408.55,30.0,Returning
1033,2023-08-18,Keyboard,Accessories,West,38696.0,23838.94,15.0,New
1034,2024-08-12,Mouse,Accessories,East,31813.0,26409.39,0.0,New
1035,2024-03-14,Tablet,Electronics,East,77959.0,53492.69,0.0,New
1036,2023-12-07,Headphones,Accessories,West,71781.0,54615.91,5.0,Returning
1037,2024-05-21,Keyboard,Accessories,West,43960.0,29813.28,10.0,Returning
1038,2024-09-26,Tablet,Electronics,East,23172.0,17074.49,15.0,Returning
1039,2023-06-27,Keyboard,Accessories,West,23603.0,12604.21,30.0,New
1040,2023-06-19,Headphones,Accessories,North,34619.0,24419.66,15.0,Returning
1041,2024-02-17,Mobile,Electronics,South,29574.0,16702.21,30.0,New
1042,2024-08-05,Laptop,Electronics,East,50825.0,38356.05,15.0,Returning
1043,2023-07-02,Laptop,Electronics,South,29904.0,15214.64,0.0,Returning
1044,2023-01-16,Laptop,Electronics,West,13647.0,11424.04,30.0,New
1045,2024-01-08,Mobile,Electronics,North,21758.0,17154.31,5.0,New
1046,2023-12-20,Keyboard,Accessories,South,64761.0,57367.1,15.0,Returning
1047,2023-06-07,Keyboard,Accessories,East,8668.0,4389.15,40.0,Returning
1048,2023-04-18,Headphones,Accessories,West,77877.0,56618.55,5.0,Returning
1049,2023-08-22,Keyboard,Accessories,South,22964.0,12721.82,30.0,Returning
1050,2023-08-12,Keyboard,Accessories,West,16287.0,9158.21,20.0,New
1051,2024-01-30,Headphones,Accessories,East,16122.0,9109.74,5.0,Returning
1052,2023-04-19,Headphones,Accessories,South,42723.0,25457.73,20.0,Returning
1053,2024-03-14,Keyboard,Accessories,North,18602.0,14385.9,20.0,Returning
1054,2023-03-01,Mouse,Accessories,South,54852.0,43538.04,0.0,New
1055,2023-01-22,Keyboard,Accessories,West,50434.0,32339.09,30.0,Returning
1056,2023-11-06,Mobile,Electronics,West,62942.0,,20.0,New
1057,2023-03-05,Tablet,Electronics,West,46915.0,31779.24,5.0,Returning
1058,2024-10-07,Mobile,Electronics,East,70835.0,51358.91,0.0,Returning
1059,2023-02-23,Keyboard,Accessories,North,46927.0,40099.22,5.0,New
1060,2024-01-15,Laptop,Electronics,South,20639.0,16773.91,20.0,New
1061,2023-11-11,Mobile,Electronics,East,62654.0,54659.04,10.0,Returning
1062,2023-09-18,Tablet,Electronics,West,65512.0,46226.38,20.0,New
1063,2023-03-06,Tablet,Electronics,North,61735.0,44473.22,0.0,New
1064,2024-06-08,Tablet,Electronics,South,51599.0,29594.24,0.0,New
1065,2024-10-14,Tablet,Electronics,South,45161.0,25262.03,30.0,New
